id;Make;City - Cold Weather;Highway - Cold Weather;Combined - Cold Weather;City - Mild Weather;Highway - Mild Weather;Combined - Mild Weather;Acceleration 0 - 100 km/h;Top Speed;Electric Range;Total Power;Total Torque;Drive;Battery Capacity;Charge Power;Charge Speed;Fastcharge Speed;Length;Width;Height;Wheelbase;Gross Vehicle Weight (GVWR);Max. Payload;Cargo Volume;Seats;Price;Consumption;Vehicle Fuel Euivalent;link;Available
1647;Genesis;390;275;330;575;355;445;7.8;185;390;168;350;Rear;77.4;11.0;49;1020;4515;1890;1580;2900;2495;595;432;5;53000;190;2.1;https://ev-database.org/car/1647/Genesis-GV60-Premium;1
1493;Mercedes;330;235;280;480;300;375;6.2;160;330;215;520;AWD;69.7;11.0;46;470;4684;1834;1701;2829;2580;480;495;7;58197;202;2.3;https://ev-database.org/car/1493/Mercedes-EQB-350-4MATIC;1
1229;Porsche;400;305;350;580;385;470;3.2;260;415;500;850;AWD;93.4;11.0;46;1020;4963;1966;1381;2900;2880;575;366;4;153253;202;2.3;https://ev-database.org/car/1229/Porsche-Taycan-Turbo;1
1252;BMW;445;340;390;670;440;540;5.7;190;470;250;430;Rear;83.9;11.0;54;730;4783;1852;1448;2856;2605;555;470;5;59200;172;1.9;https://ev-database.org/car/1252/BMW-i4-eDrive40;1
1534;Volkswagen;440;320;380;660;415;520;7.9;160;450;150;310;Rear;82.0;11.0;55;570;4261;1809;1568;2771;2300;447;385;5;43720;171;1.9;https://ev-database.org/car/1534/Volkswagen-ID3-Pro-S---5-Seats;1
1178;CUPRA;270;195;230;415;255;320;8.9;160;275;110;310;Rear;55.0;7.2;38;410;4322;1809;1540;2766;2240;607;385;5;32700;164;1.8;https://ev-database.org/car/1178/CUPRA-Born-110-kW---45-kWh;1
1279;Skoda;320;235;275;480;300;375;8.7;160;330;132;310;Rear;62.0;11.0;53;440;4649;1879;1616;2764;2509;619;585;5;42100;176;2.0;https://ev-database.org/car/1279/Skoda-Enyaq-iV-60;1
1438;Porsche;395;290;340;565;370;455;3.3;250;400;500;850;AWD;93.4;11.0;45;980;4974;1967;1412;2904;2880;635;405;4;154682;209;2.4;https://ev-database.org/car/1438/Porsche-Taycan-Turbo-Cross-Turismo;1
1281;Skoda;395;290;340;580;370;460;6.9;160;400;195;425;AWD;82.0;11.0;49;500;4653;1879;1604;2768;2750;630;585;5;49050;193;2.2;https://ev-database.org/car/1281/Skoda-Enyaq-iV-80x;1
1625;Porsche;395;295;345;565;375;460;3.2;260;405;500;850;AWD;93.4;11.0;45;1000;4963;1966;1391;2900;2880;550;405;4;154206;207;2.3;https://ev-database.org/car/1625/Porsche-Taycan-Turbo-Sport-Turismo;1
1280;Skoda;415;300;355;615;385;485;8.6;160;420;150;310;Rear;82.0;11.0;51;530;4649;1879;1616;2765;2616;601;585;5;46800;183;2.1;https://ev-database.org/car/1280/Skoda-Enyaq-iV-80;1
1475;MG;330;230;280;485;295;370;4.9;200;330;212;665;AWD;69.9;11.0;47;390;4674;1919;1618;2804;2373;453;357;5;50990;197;2.2;https://ev-database.org/car/1475/MG-Marvel-R-Performance;1
1421;Volvo;355;250;300;515;315;395;4.7;180;350;300;660;AWD;78.0;11.0;44;470;4440;1873;1596;2702;2620;510;419;5;57650;214;2.4;https://ev-database.org/car/1421/Volvo-C40-Recharge-Twin-Pure-Electric;1
1327;Fiat;135;95;115;210;125;160;9.0;135;135;70;220;Front;23.8;11.0;59;230;3631;1683;1529;2322;1580;400;185;4;30990;158;1.8;https://ev-database.org/car/1327/Fiat-500e-Hatchback-24-kWh;1
1667;Smart;350;245;295;520;315;400;6.7;180;350;200;343;Rear;66.0;7.4;34;520;4270;1822;1636;2750;2213;500;323;5;41490;183;2.1;https://ev-database.org/car/1667/Smart-1;1
1662;Hyundai;390;280;330;575;355;445;7.3;185;390;168;350;Rear;77.4;11.0;49;1020;4635;1890;1605;3000;2450;515;527;5;47900;190;2.1;https://ev-database.org/car/1662/Hyundai-IONIQ-5-Long-Range-2WD;1
1522;Peugeot;210;140;170;300;170;225;11.7;135;200;100;260;Front;50.0;7.4;28;320;4403;1921;1878;2785;2305;615;571;7;41240;225;2.5;https://ev-database.org/car/1522/Peugeot-e-Rifter-Standard-50-kWh;1
1546;Citroen;215;140;175;305;175;225;11.7;135;200;100;260;Front;50.0;7.4;28;320;4403;1921;1844;2785;2290;626;571;5;37790;225;2.5;https://ev-database.org/car/1546/Citroen-e-Berlingo-M-50-kWh;1
